id,workflowName,priority,status,workflowResponse,agentName,source,sourceId,userId,createdDate,completedDate,failureReasonDescription,inputattribute1,inputattribute2,inputattribute3,inputattribute4,inputattribute5,inputattribute6,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6
109,CSV intermidiate,DEFAULT,New,,,AutomationEdge HelpDesk,SID_e8-9aa-21cd-93-9a8cb-b9b9-89,ashutosh singh,2020-12-01 11:00:01.549,,,,,,,,,,,,,,
108,AE file upload-12,DEFAULT,Complete,"{""message"":""Execution Successful"",""error"":null,""currentStatus"":null,""outputParameters"":[{""name"":""output.txt"",""value"":""96ad873a-90da-4b33-93a7-0ddeea23b7cc"",""type"":""File"",""order"":1,""secret"":false,""optional"":false,""defaultValue"":null,""displayName"":""output.txt"",""extension"":""txt"",""poolCredential"":false,""listOfValues"":null}]}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_89-87f-213f-97-aa578-99c8-ba,Akash Sanap,2020-11-30 18:28:56.549,2020-11-30 18:29:18.596,,,,,,,,,,,,,
106,AE file upload-12,DEFAULT,Complete,"{""message"":""Execution Successful"",""error"":null,""currentStatus"":null,""outputParameters"":[{""name"":""output.txt"",""value"":""8264ea34-7ac0-499c-be1a-0c0ff5dc78c0"",""type"":""File"",""order"":1,""secret"":false,""optional"":false,""defaultValue"":null,""displayName"":""output.txt"",""extension"":""txt"",""poolCredential"":false,""listOfValues"":null}]}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_0a-9fa-2124-a6-8b689-999b-9a,Akash Sanap,2020-11-30 18:08:09.834,2020-11-30 18:32:04.339,,,,,,,,,,,,,
105,Manual Intervention23,DEFAULT,Failure,"{""message"":null,""error"":""com.automationedge.ps.core.exception.ProcessStudioException: \r\nCan't run workflow due to plugin missing Step [Manual Intervention] failed to initialize!Can't run workflow due to plugin missing Step [Debug Log] failed to initialize!Can't run workflow due to plugin missing Step [Set Workflow Result] failed to initialize!\r\n"",""currentStatus"":null,""outputParameters"":null}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_89-92b-21dd-96-1bf78-b988-b8,Akash Sanap,2020-11-30 17:50:23.666,2020-11-30 17:50:27.401,Unknown reason,,,,,,,,,,,,
104,Manual Intervention23,DEFAULT,Failure,"{""message"":null,""error"":""com.automationedge.ps.core.exception.ProcessStudioException: \r\nCan't run workflow due to plugin missing Step [Manual Intervention] failed to initialize!Can't run workflow due to plugin missing Step [Debug Log] failed to initialize!Can't run workflow due to plugin missing Step [Set Workflow Result] failed to initialize!\r\n"",""currentStatus"":null,""outputParameters"":null}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_08-bf7-2133-ac-db9ca-aa79-8e,Akash Sanap,2020-11-30 17:49:52.317,2020-11-30 17:49:57.327,Unknown reason,,,,,,,,,,,,
103,Manual Intervention23,DEFAULT,Failure,"{""message"":null,""error"":""com.automationedge.ps.core.exception.ProcessStudioException: \r\nCan't run workflow due to plugin missing Step [Manual Intervention] failed to initialize!Can't run workflow due to plugin missing Step [Debug Log] failed to initialize!Can't run workflow due to plugin missing Step [Set Workflow Result] failed to initialize!\r\n"",""currentStatus"":null,""outputParameters"":null}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_38-a42-210d-bb-49058-a95b-96,Akash Sanap,2020-11-30 17:25:14.745,2020-11-30 17:26:41.035,Unknown reason,,,,,,,,,,,,
102,Manual Intervention23,DEFAULT,Diverted,"{""message"":""Manual Intervention Testing"",""error"":null,""currentStatus"":null,""outputParameters"":null}",Akash@Akash-PC_d1606800321,AutomationEdge HelpDesk,SID_ab-8fc-2140-b6-eaba9-9ab8-bc,Akash Sanap,2020-11-30 17:20:49.078,2020-11-30 18:33:07.731,,,,,,,,,,,,,
100,CSV intermidiate,DEFAULT,New,,,AutomationEdge HelpDesk,SID_aa-a90-21fb-8a-fae58-986a-ae,Akash Sanap,2020-11-30 17:00:00.529,,,,,,,,,,,,,,
44,CSV intermidiate,DEFAULT,Complete,"{""message"":""Execution Successful"",""error"":null,""currentStatus"":null,""outputParameters"":[{""name"":""sequentialbegi.txt"",""value"":""5fb02739-ef32-41eb-8a35-9d3979c9c9e8"",""type"":""File"",""order"":1,""secret"":false,""optional"":false,""defaultValue"":null,""displayName"":""sequentialbegi.txt"",""extension"":""txt"",""poolCredential"":false,""listOfValues"":null}]}",Akash_d1606483653,AutomationEdge HelpDesk,SID_4a-8d4-21f0-bf-a9218-a9eb-b8,Sanju HUl,2020-11-27 16:54:08.345,2020-11-27 16:56:12.743,,,,,,,,,,,,,
43,CSV intermidiate,DEFAULT,Complete,"{""message"":""Execution Successful"",""error"":null,""currentStatus"":null,""outputParameters"":[{""name"":""sequentialbegi.txt"",""value"":""1f249928-37b1-4a27-80f2-b574863eb546"",""type"":""File"",""order"":1,""secret"":false,""optional"":false,""defaultValue"":null,""displayName"":""sequentialbegi.txt"",""extension"":""txt"",""poolCredential"":false,""listOfValues"":null}]}",Akash_d1606483653,AutomationEdge HelpDesk,SID_6b-918-214c-b2-7b0db-89a9-a9,Sanju HUl,2020-11-27 16:50:15.707,2020-11-27 16:51:52.139,,,,,,,,,,,,,
